No. 1s,Fecha,INICIO,FINAL,TIEMPO DE PARO,CAUSA (DIGITAR EN MAYUSCULAS),PROCESO,HORAS TOTAL (H),Codigo ubicación tecnica,Tipo Paro,Imputación,AREA,PROCESO2,CLASE,NOMBRE RCA,AREA2,MES,AÑO
0,2022-01-01,00:00:00,05:15:00,05:15:00,PARADA PROGRAMADA DE PRODUCCION,CRUDO,5.25,EC01-361,PROGRAMA DE PRODUCCION,ALTO INVENTARIO,PROCESO,PROCESO,PP PROCESO,PARADA PROGRAMADA DE PRODUCCION,CRUDO,enero,2022
1,2022-01-01,02:58:00,04:58:00,02:00:00,TOLVAS LLENAS,CARBON,2.0,EC01-L61,EXTERNO,ALTO INVENTARIO,PROCESO,PROCESO,EXTERNO,TOLVAS LLENAS ,CARBON,enero,2022
0,2022-01-01,00:00:00,23:59:00,23:59:00,SILOS LLENOS ,CEMENTO,23.983333333333334,EC01-561,EXTERNO,ALTO INVENTARIO,PROCESO,PROCESO,EXTERNO,INVENTARIOS ALTOS ,CEMENTO,enero,2022
0,2022-01-01,00:00:00,07:00:00,07:00:00,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,7.0,IA01-211,PROGRAMA DE PRODUCCION,Sin Imputacion,PROCESO,PROCESO,PP PROCESO,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,enero,2022
0,2022-01-01,07:00:00,23:00:00,16:00:00,SIN ACTIVIDAD DE ZEMER,TRITURADORA,16.0,IA01-211,EXTERNO,Sin Imputacion,PROCESO,PROCESO,EXTERNO,SIN ACTIVIDAD DE ZEMER,TRITURADORA,enero,2022
1,2022-01-01,10:03:00,11:43:00,01:40:00,TOLVAS LLENAS,CARBON,1.666666666666666,EC01-L61,EXTERNO,ALTO INVENTARIO,PROCESO,PROCESO,EXTERNO,TOLVAS LLENAS,CARBON,enero,2022
0,2022-01-01,23:00:00,23:59:00,00:59:00,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,0.9833333333333325,IA01-211,PROGRAMA DE PRODUCCION,Sin Imputacion,PROCESO,PROCESO,PP PROCESO,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,enero,2022
1,2022-01-01,15:53:00,18:27:00,02:34:00,PROGRAMADO PARA MONTAJE DE SCRAPERS,CARBON,2.5666666666666655,EC01-L61,MANTENIMIENTO PROGRAMADO,Sin Imputacion,MANTENIMIENTO,MANTENIMIENTO,PP,PROGRAMADO PARA MONTAJE DE SCRAPERS,CARBON,enero,2022
1,2022-01-01,15:46:00,15:48:00,00:02:00,CAMBIOS DE GIRO SEGUIDOS DE LA ROTARY 361VR01,CRUDO,0.033333333333333215,EC01-361-VR01,EXTERNO,VALVULA ROTATIVA,PROCESO,PROCESO,EXTERNO,CAMBIOS DE GIRO SEGUIDOS DE LA ROTARY 361VR01,CRUDO,enero,2022
1,2022-01-01,22:13:00,22:29:00,00:16:00,"TOLVA L61TY01 VACIA, POR CAMA DE RECLAMADOR  NO UNIFORME ",CARBON,0.2666666666666684,EC01-L61,OPERACION,Sin Imputacion,PROCESO,PROCESO,PROCESO,"TOLVA L61TY01 VACIA, POR CAMA DE RECLAMADOR  NO UNIFORME ",CARBON,enero,2022
1,2022-01-02,04:05:00,04:25:00,00:20:00,CAMBIOS DE GIRO SEGUIDOS DE LA ROTARY 361VR01,CRUDO,0.33333333333333415,EC01-361-VR01,EXTERNO,VALVULA ROTATIVA,PROCESO,PROCESO,EXTERNO,CAMBIOS DE GIRO SEGUIDOS DE LA ROTARY 361VR01,CRUDO,enero,2022
1,2022-01-02,07:23:00,11:26:00,04:03:00,TOLVAS LLENAS,CARBON,4.050000000000001,EC01-L61,EXTERNO,ALTO INVENTARIO,PROCESO,PROCESO,EXTERNO,TOLVAS LLENAS,CARBON,enero,2022
0,2022-01-02,00:00:00,07:00:00,07:00:00,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,7.0,IA01-211,PROGRAMA DE PRODUCCION,Sin Imputacion,PROCESO,PROCESO,PP PROCESO,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,enero,2022
0,2022-01-02,07:00:00,09:02:00,02:02:00,INICIO DE OPERACIONES DE ZEMER,TRITURADORA,2.0333333333333328,IA01-211,EXTERNO,Sin Imputacion,PROCESO,PROCESO,EXTERNO,INICIO DE OPERACIONES DE ZEMER,TRITURADORA,enero,2022
1,2022-01-02,16:27:00,21:20:00,04:53:00,FALTA DE PILA PREHOMO,CRUDO,4.883333333333332,EC01-361,MINA,TRITURADORA,PROCESO,PROCESO,EXTERNO,FALTA DE PILA DE MEZCLA ,CRUDO,enero,2022
1,2022-01-02,22:56:00,23:16:00,00:20:00,ATASQUE EN DESCARGA DE BANDA 331BT01 CON MADERA Y SE SUBE EL AMPERAJE DE LA BANDA 361BT01,CRUDO,0.33333333333333215,EC01-361-BT01,MINA,BANDA TRANSPORTADORA,PROCESO,PROCESO,EXTERNO,ATASQUE EN DESCARGA DE BANDA 331BT01 CON MADERA Y SE SUBE EL AMPERAJE DE LA BANDA 361BT01,CRUDO,enero,2022
1,2022-01-02,19:27:00,20:21:00,00:54:00,BAJO NIVEL DE LUBRICACION DE RODILLOS L61EL02,CARBON,0.9000000000000021,EC01-L61-EL02,MECANICO,Sin Imputacion,MTTO MECANICO,MANTENIMIENTO,PNP,BAJO NIVEL DE LUBRICACION DE RODILLOS L61EL02,CARBON,enero,2022
1,2022-01-02,19:41:00,23:59:00,04:18:00,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,4.300000000000001,IA01-211,PROGRAMA DE PRODUCCION,Sin Imputacion,PROCESO,PROCESO,PP PROCESO,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,enero,2022
0,2022-01-02,00:00:00,23:59:00,23:59:00,SILOS LLENOS ,CEMENTO,23.983333333333334,EC01-561,EXTERNO,ALTO INVENTARIO,PROCESO,PROCESO,EXTERNO,INVENTARIOS ALTOS ,CEMENTO,enero,2022
1,2022-01-03,00:00:00,00:24:00,00:24:00,CAMBIO DE MANOMETRO DE PRESION POR FUGA DE ACEITE HIDRAULICO DE RODILLOS ,CARBON,0.4,EC01-L61-EL02,MECANICO,Sin Imputacion,MTTO MECANICO,MANTENIMIENTO,PNP,CAMBIO DE MANOMETRO DE PRESION POR FUGA DE ACEITE HIDRAULICO DE RODILLOS ,CARBON,enero,2022
0,2022-01-03,00:00:00,07:18:00,07:18:00,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,7.299999999999999,IA01-211,PROGRAMA DE PRODUCCION,Sin Imputacion,PROCESO,PROCESO,PP PROCESO,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,enero,2022
1,2022-01-03,22:44:00,23:59:00,01:15:00,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,1.2499999999999982,IA01-211,PROGRAMA DE PRODUCCION,Sin Imputacion,PROCESO,PROCESO,PP PROCESO,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,enero,2022
1,2022-01-03,23:32:00,23:59:00,00:27:00,SILO LLENO,CRUDO,0.4499999999999984,EC01-361,EXTERNO,ALTO INVENTARIO,PROCESO,PROCESO,EXTERNO,SILO LLENO DE HARINA ,CRUDO,enero,2022
1,2022-01-03,21:53:00,23:59:00,02:06:00,TOLVAS LLENAS,CARBON,2.1000000000000005,EC01-L61,EXTERNO,ALTO INVENTARIO,PROCESO,PROCESO,EXTERNO,TOLVAS LLENAS,CARBON,enero,2022
0,2022-01-03,00:00:00,23:59:00,23:59:00,SILOS LLENOS ,CEMENTO,23.983333333333334,EC01-561,EXTERNO,ALTO INVENTARIO,PROCESO,PROCESO,EXTERNO,INVENTARIOS ALTOS ,CEMENTO,enero,2022
0,2022-01-04,00:00:00,01:00:00,01:00:00,SILO LLENO,CRUDO,1.0,EC01-361,EXTERNO,ALTO INVENTARIO,PROCESO,PROCESO,EXTERNO,SILO LLENO DE HARINA ,CRUDO,enero,2022
0,2022-01-04,00:00:00,00:23:00,00:23:00,TOLVAS LLENAS,CARBON,0.3833333333333334,EC01-L61,EXTERNO,ALTO INVENTARIO,PROCESO,PROCESO,EXTERNO,SILO LLENO,CARBON,enero,2022
1,2022-01-04,00:33:00,01:06:00,00:33:00,PARA MOLINO POR BAJA PRESION DIFERENCIAL DE ENTRADA AL MOLINO L61MR01P1 Y SE LIMPIA TOMA DE PRESION ,CARBON,0.55,EC01-L61-MR01,OPERACION,Sin Imputacion,PROCESO,PROCESO,PROCESO,PARA MOLINO POR BAJA PRESION DIFERENCIAL DE ENTRADA AL MOLINO L61MR01P1 Y SE LIMPIA TOMA DE PRESION ,CARBON,enero,2022
0,2022-01-04,00:00:00,08:02:00,08:02:00,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,8.033333333333333,IA01-211,PROGRAMA DE PRODUCCION,Sin Imputacion,PROCESO,PROCESO,PP PROCESO,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,enero,2022
1,2022-01-04,05:27:00,20:33:00,15:06:00,SILO LLENO,CRUDO,15.100000000000001,EC01-361,EXTERNO,ALTO INVENTARIO,PROCESO,PROCESO,EXTERNO,SILO LLENO,CRUDO,enero,2022
0,2022-01-04,00:00:00,23:59:00,23:59:00,SILOS LLENOS ,CEMENTO,23.983333333333334,EC01-561,EXTERNO,ALTO INVENTARIO,PROCESO,PROCESO,EXTERNO,INVENTARIOS ALTOS ,CEMENTO,enero,2022
1,2022-01-04,13:07:00,15:06:00,01:59:00,REVISIÓN INTERNA DEL MOLINO ,CARBON,1.9833333333333316,EC01-L61,MECANICO,MOLINO VERTICAL,MTTO MECANICO,MANTENIMIENTO,PNP,PARA REVISIÓN INTERNA DEL MOLINO ,CARBON,enero,2022
1,2022-01-04,10:22:00,10:30:00,00:08:00,SE ACTIVA PARO DE CUERDA EN BANDA 291BT02,TRITURADORA,0.13333333333333286,IA01-291-BT02,EXTERNO,Sin Imputacion,PROCESO,PROCESO,EXTERNO,SE ACTIVA PARO DE CUERDA EN BANDA 291BT02,TRITURADORA,enero,2022
1,2022-01-04,22:55:00,23:59:00,01:04:00,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,1.0666666666666655,IA01-211,PROGRAMA DE PRODUCCION,Sin Imputacion,PROCESO,PROCESO,PP PROCESO,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,enero,2022
1,2022-01-04,21:37:00,22:18:00,00:41:00,TOLVA VACIA DE PREHOMO POR COMIENZO DE PILA ,CRUDO,0.6833333333333336,EC01-321-TY01,OPERACION,Sin Imputacion,PROCESO,PROCESO,PROCESO,TOLVA VACIA DE PREHOMO POR COMIENZO DE PILA ,CRUDO,enero,2022
1,2022-01-04,19:01:00,21:40:00,02:39:00,"PARO POR NOVEDAD DE RETRASO DE RUTA, FALTA DE PERSONAL EN LABORATORIO ",TRITURADORA,2.6500000000000012,IA01-211,EXTERNO,Sin Imputacion,PROCESO,PROCESO,EXTERNO,"PARO POR NOVEDAD DE RETRASO DE RUTA, FALTA DE PERSONAL EN LABORATORIO ",TRITURADORA,enero,2022
0,2022-01-05,00:00:00,00:12:00,00:12:00,SILOS LLENOS ,CEMENTO,0.2,EC01-561,EXTERNO,ALTO INVENTARIO,PROCESO,PROCESO,EXTERNO,INVENTARIOS ALTOS ,CEMENTO,enero,2022
0,2022-01-05,00:00:00,08:42:00,08:42:00,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,8.7,IA01-211,PROGRAMA DE PRODUCCION,Sin Imputacion,PROCESO,PROCESO,PP PROCESO,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,enero,2022
1,2022-01-05,02:24:00,02:28:00,00:04:00,ALTA VIBRACION POR MOLINO LLENO ,CEMENTO,0.0666666666666671,EC01-561-MR01,OPERACION,MOLINO VERTICAL,PROCESO,PROCESO,PROCESO,ALTA VIBRACION POR MOLINO LLENO ,CEMENTO,enero,2022
1,2022-01-05,22:42:00,23:59:00,01:17:00,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,1.283333333333334,IA01-211,PROGRAMA DE PRODUCCION,Sin Imputacion,PROCESO,PROCESO,PP PROCESO,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,enero,2022
1,2022-01-05,07:11:00,07:14:00,00:03:00,ALTA VIBRACION POR MOLINO LLENO ,CEMENTO,0.04999999999999982,EC01-561-MR01,OPERACION,MOLINO VERTICAL,PROCESO,PROCESO,PROCESO,ALTA VIBRACION POR MOLINO LLENO ,CEMENTO,enero,2022
1,2022-01-05,21:24:00,23:56:00,02:32:00,TOLVAS LLENAS,CARBON,2.533333333333335,EC01-L61,EXTERNO,ALTO INVENTARIO,PROCESO,PROCESO,EXTERNO,TOLVAS LLENAS ,CARBON,enero,2022
1,2022-01-06,00:31:00,00:45:00,00:14:00,SE PARA MOLINO PARA RETIRAR MADERA EN DESCARGA DE BANDA 331BT01,CRUDO,0.23333333333333325,EC01-331-BT01,MINA,BANDA TRANSPORTADORA,PROCESO,PROCESO,EXTERNO,SE PARA MOLINO PARA RETIRAL MADERA EN DESCARGA DE BANDA 331BT01,CRUDO,enero,2022
0,2022-01-06,00:00:00,08:46:00,08:46:00,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,8.766666666666667,IA01-211,PROGRAMA DE PRODUCCION,Sin Imputacion,PROCESO,PROCESO,PP PROCESO,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,enero,2022
1,2022-01-06,22:43:00,23:59:00,01:16:00,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,1.2666666666666675,IA01-211,PROGRAMA DE PRODUCCION,Sin Imputacion,PROCESO,PROCESO,PP PROCESO,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,enero,2022
1,2022-01-06,07:15:00,22:52:00,15:37:00,FALTA DE PILA PREHOMO,CRUDO,15.616666666666667,EC01-361,MINA,Sin Imputacion,PROCESO,PROCESO,EXTERNO,SE ACABA PILA DE PREHOMO -  LA OTRA PILA NO ESTA EN CONSIGNA,CRUDO,enero,2022
1,2022-01-06,16:52:00,18:39:00,01:47:00,TOLVAS LLENAS,CARBON,1.7833333333333297,EC01-L61,EXTERNO,ALTO INVENTARIO,PROCESO,PROCESO,EXTERNO,TOLVAS LLENAS ,CARBON,enero,2022
1,2022-01-07,02:45:00,09:45:00,07:00:00,DAÑO EN AIRE DE SELLO RODAMIENTO DE LAS MASAS,CARBON,7.0,EC01-L61,MECANICO,Sin Imputacion,MTTO MECANICO,MANTENIMIENTO,PNP,DAÑO EN AIRE DE SELLO RODAMIENTO DE LAS MASAS,CARBON,enero,2022
1,2022-01-07,08:33:00,08:53:00,00:20:00,FALLA DE COMUNICACIÓN EN BANDA APILADOR,TRITURADORA,0.33333333333333215,IA01-291-AD01-C01,EXTERNO,Sin Imputacion,PROCESO,PROCESO,EXTERNO,FALLA DE COMUNICACIÓN EN BANDA APILADOR,TRITURADORA,enero,2022
0,2022-01-07,00:00:00,08:07:00,08:07:00,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,8.116666666666667,IA01-211,PROGRAMA DE PRODUCCION,Sin Imputacion,PROCESO,PROCESO,PP PROCESO,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,enero,2022
1,2022-01-07,11:15:00,11:40:00,00:25:00,"SE FRENA ROTATIVA MATERIAL HUMEDO, PARA MOLINO POR ALTA VIBRACION",CRUDO,0.4166666666666665,EC01-361-VR01-M01,MINA,Sin Imputacion,PROCESO,PROCESO,EXTERNO,"SE FRENA ROTATIVA MATERIAL HUMEDO, PARA MOLINO POR ALTA VIBRACION",CRUDO,enero,2022
1,2022-01-07,10:54:00,10:59:00,00:05:00,"SE LEVANTAN MASAS POR ALTA VIBRACION, SE DESCARGA FILTRO 561FT01",CEMENTO,0.08333333333333304,EC01-561-MR01,OPERACION,Sin Imputacion,PROCESO,PROCESO,PROCESO,"SE LEVANTAN MASAS POR ALTA VIBRACION, SE DESCARGA FILTRO 561FT01",CEMENTO,enero,2022
1,2022-01-07,21:53:00,22:13:00,00:20:00,PARO POR VÁLVULA ROTATIVA SE ENCONTRO RAMA DE ARBOL ATASCANDO,CRUDO,0.33333333333333215,EC01-361-VR01-M01,MINA,VALVULA ROTATIVA,PROCESO,PROCESO,EXTERNO,PARO POR VÁLVULA ROTATIVA SE ENCONTRO RAMA DE ARBOL ATASCANDO,CRUDO,enero,2022
1,2022-01-07,23:00:00,23:59:59,00:59:59,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,0.9997222222222195,IA01-211,PROGRAMA DE PRODUCCION,Sin Imputacion,PROCESO,PROCESO,PP PROCESO,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,enero,2022
0,2022-01-08,00:00:00,08:17:00,08:17:00,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,8.283333333333333,IA01-211,PROGRAMA DE PRODUCCION,Sin Imputacion,PROCESO,PROCESO,PP PROCESO,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,enero,2022
1,2022-01-08,07:18:00,10:18:00,03:00:00,TOLVAS LLENAS,CARBON,3.0000000000000013,EC01-L61,EXTERNO,ALTO INVENTARIO,PROCESO,PROCESO,EXTERNO,TOLVAS LLENAS ,CARBON,enero,2022
1,2022-01-08,11:24:00,12:04:00,00:40:00,"DESALINEAMIENTO 361BT01, UNA RAIZ GENERA ATASQUE",CRUDO,0.6666666666666656,EC01-361-BT01,MINA,Sin Imputacion,PROCESO,PROCESO,EXTERNO,"DESALINEAMIENTO 361BT01, UNA RAIZ GENERA ATASQUE",CRUDO,enero,2022
1,2022-01-08,08:37:00,10:26:00,01:49:00,CORREGIR FUGA EN BAJANTE DE LA ROTATIVA DE ALIMENTACION,CEMENTO,1.8166666666666669,EC01-561,MANTENIMIENTO PROGRAMADO,Sin Imputacion,MANTENIMIENTO,MANTENIMIENTO,PP,DE DETIENE MOLINO PARA CORREGIR FUGA EN BAJANTE DE LA ROTATIVA DE ALIMENTACION,CEMENTO,enero,2022
1,2022-01-08,14:06:00,17:45:00,03:39:00,FALTA DE PILA PREHOMO,CRUDO,3.6500000000000004,EC01-361,MINA,Sin Imputacion,PROCESO,PROCESO,EXTERNO,SE ACABA PILA DE PREHOMO -  LA OTRA PILA NO ESTA EN CONSIGNA,CRUDO,enero,2022
1,2022-01-08,18:55:00,19:29:00,00:34:00,ALTO CO EN FILTRO PRINCIPAL ,CARBON,0.5666666666666647,EC01-L61-FT02,EXTERNO,HORNO,PROCESO,PROCESO,EXTERNO,ALTO CO EN FILTRO PRINCIPAL ,CARBON,enero,2022
1,2022-01-08,19:33:00,23:59:00,04:26:00,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,4.433333333333334,IA01-211,PROGRAMA DE PRODUCCION,Sin Imputacion,PROCESO,PROCESO,PP PROCESO,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,enero,2022
0,2022-01-09,00:00:00,08:52:00,08:52:00,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,8.866666666666667,IA01-211,PROGRAMA DE PRODUCCION,Sin Imputacion,PROCESO,PROCESO,PP PROCESO,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,enero,2022
1,2022-01-09,06:27:00,08:15:00,01:48:00,PARO DE HORNO,CARBON,1.8000000000000003,EC01-L61,EXTERNO,Sin Imputacion,PROCESO,PROCESO,EXTERNO,SE PARA MOLINO POR PARO DE HORNO,CARBON,enero,2022
1,2022-01-09,06:22:00,08:19:00,01:57:00,PARO DEL HORNO,CRUDO,1.9499999999999997,EC01-361,EXTERNO,Sin Imputacion,PROCESO,PROCESO,EXTERNO,SE DETIENE MOLINO POR PARO DEL HORNO,CRUDO,enero,2022
1,2022-01-09,06:18:00,07:02:00,00:44:00,PARO POR POSICION ARRIBA DEL HORNO,HORNO,0.7333333333333334,EC01-461-RH01,OPERACION,Sin Imputacion,PROCESO,PROCESO,PROCESO,SE CAE SEÑAL DE TEMPERATURA 461HR01T4,HORNO,enero,2022
1,2022-01-09,12:27:00,23:59:00,11:32:00,FALTA DE CALIZA,CEMENTO,11.533333333333335,EC01-561,MINA,Sin Imputacion,PROCESO,PROCESO,EXTERNO,SE DETIENE MOLINO POR FALTA DE CALIZA,CEMENTO,enero,2022
1,2022-01-09,12:45:00,14:45:00,02:00:00,TOLVAS LLENAS,CARBON,2.000000000000001,EC01-L61,EXTERNO,ALTO INVENTARIO,PROCESO,PROCESO,EXTERNO,TOLVAS LLENAS ,CARBON,enero,2022
1,2022-01-09,19:48:00,23:59:00,04:11:00,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,4.183333333333332,IA01-211,PROGRAMA DE PRODUCCION,Sin Imputacion,PROCESO,PROCESO,PP PROCESO,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,enero,2022
1,2022-01-09,23:42:00,23:59:00,00:17:00,TOLVAS LLENAS,CARBON,0.283333333333335,EC01-L61,EXTERNO,ALTO INVENTARIO,PROCESO,PROCESO,EXTERNO,TOLVAS LLENAS ,CARBON,enero,2022
0,2022-01-10,00:00:00,07:40:00,07:40:00,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,7.666666666666668,IA01-211,PROGRAMA DE PRODUCCION,Sin Imputacion,PROCESO,PROCESO,PP PROCESO,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,enero,2022
0,2022-01-10,00:00:00,02:22:00,02:22:00,TOLVAS LLENAS,CARBON,2.3666666666666667,EC01-L61,EXTERNO,ALTO INVENTARIO,PROCESO,PROCESO,EXTERNO,TOLVAS LLENAS ,CARBON,enero,2022
0,2022-01-10,00:00:00,23:59:00,23:59:00,FALTA DE CALIZA,CEMENTO,23.983333333333334,EC01-561,EXTERNO,FALTA DE SUMINISTRO DE ABASTOS,PROCESO,PROCESO,EXTERNO,"SE DETIENE MOLINO POR FALTA DE CALIZA, SILOS LLENOS",CEMENTO,enero,2022
1,2022-01-10,03:48:00,04:21:00,00:33:00,"TOLVA L61TY01 VACIA, POR CAMA DE RECLAMADOR  NO UNIFORME ",CARBON,0.55,EC01-L61,OPERACION,RECLAMADOR DE MATERIAL,PROCESO,PROCESO,PROCESO,"SE PARA MOLINO POR TOLVA VACIA L61TY01, NO RECLAMA LO NECESARIO PARA SOSTENER EL MOLINO ",CARBON,enero,2022
1,2022-01-10,12:14:00,13:22:00,01:08:00,CAMBIO DE PILA PREHOMO,CRUDO,1.1333333333333346,EC01-361,MINA,Sin Imputacion,PROCESO,PROCESO,EXTERNO,CAMBIO DE PILA PREHOMO,CRUDO,enero,2022
1,2022-01-10,13:05:00,15:23:00,02:18:00,TOLVAS LLENAS,CARBON,2.299999999999997,EC01-L61,EXTERNO,ALTO INVENTARIO,PROCESO,PROCESO,EXTERNO,TOLVAS LLENAS ,CARBON,enero,2022
1,2022-01-10,21:52:00,23:00:00,01:08:00,CAIDA DE TENSION ,TRITURADORA,1.1333333333333346,IA01-211,EXTERNO,CORTE SUMINISTRO ENERGIA ELECTRICA,EXTERNO,EXTERNO,EXTERNO,CAIDA DE TENSION ,TRITURADORA,enero,2022
0,2022-01-10,23:00:00,23:59:00,00:59:00,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,0.9833333333333325,IA01-211,PROGRAMA DE PRODUCCION,Sin Imputacion,PROCESO,PROCESO,PP PROCESO,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,enero,2022
1,2022-01-10,21:51:00,22:59:00,01:08:00,CAIDA DE TENSION ,HORNO,1.133333333333332,EC01-461,EXTERNO,CORTE SUMINISTRO ENERGIA ELECTRICA,EXTERNO,EXTERNO,EXTERNO,CAIDA DE TENSION ,HORNO,enero,2022
1,2022-01-10,21:51:00,23:24:00,01:33:00,CAIDA DE TENSION ,CRUDO,1.5499999999999972,EC01-361,EXTERNO,CORTE SUMINISTRO ENERGIA ELECTRICA,PROCESO,PROCESO,EXTERNO,CAIDA DE TENSION ,CRUDO,enero,2022
1,2022-01-10,21:51:00,23:37:00,01:46:00,CAIDA DE TENSION ,CARBON,1.7666666666666657,EC01-L61,EXTERNO,CORTE SUMINISTRO ENERGIA ELECTRICA,EXTERNO,EXTERNO,EXTERNO,CAIDA DE TENSION ,CARBON,enero,2022
0,2022-01-11,00:00:00,07:55:00,07:55:00,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,7.916666666666666,IA01-211,PROGRAMA DE PRODUCCION,Sin Imputacion,PROCESO,PROCESO,PP PROCESO,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,enero,2022
1,2022-01-11,04:41:00,08:10:00,03:29:00,TOLVAS LLENAS,CARBON,3.4833333333333325,EC01-L61,EXTERNO,ALTO INVENTARIO,PROCESO,PROCESO,EXTERNO,TOLVAS LLENAS,CARBON,enero,2022
0,2022-01-11,00:00:00,02:38:00,02:38:00,FALTA DE CALIZA,CEMENTO,2.6333333333333333,EC01-561,EXTERNO,ALTO INVENTARIO,PROCESO,PROCESO,EXTERNO,"SE DETIENE MOLINO POR FALTA DE CALIZA, SILOS LLENOS",CEMENTO,enero,2022
1,2022-01-11,11:08:00,12:04:00,00:56:00,ALTO CO POR DISTURBIO EN EL HORNO,CARBON,0.933333333333334,EC01-L61,EXTERNO,TRANSPORTADOR DE CANGILONES,PROCESO,PROCESO,EXTERNO,ALTO CO POR DISTURBIO EN EL HORNO,CARBON,enero,2022
1,2022-01-11,08:26:00,09:01:00,00:35:00,"BAJO NIVEL DE TOLVA DE CLINKER, FALLA TRANSPORTADOR 491-TC03",CEMENTO,0.5833333333333339,EC01-491-TC03-M01,ELECTRICO,Sin Imputacion,MTTO ELECTRICO,MANTENIMIENTO,PNP,"BAJO NIVEL DE TOLVA DE CLINKER, FALLA PAN CONVEYOR",CEMENTO,enero,2022
1,2022-01-11,19:29:00,20:50:00,01:21:00,CAMBIO DE PILA PREHOMO,CRUDO,1.3499999999999979,EC01-361,MINA,FALTA DE SUMINISTRO DE ABASTOS,PROCESO,PROCESO,EXTERNO,CAMBIO DE PILA PREHOMO,CRUDO,enero,2022
1,2022-01-11,19:47:00,21:35:00,01:48:00,BAJO NIVEL DE TOLVA ALIMENTACION AL MOLINO POR FALLA SEPARADOR MAGNETICO L21SM01,CARBON,1.7999999999999963,EC01-L21-SM01,ELECTRICO,SEPARADOR MAGNETICO,MTTO ELECTRICO,MANTENIMIENTO,PNP,BAJO NIVEL DE TOLVA ALIMENTACION AL MOLINO POR FALLA SEPARADOR MAGNETICO L21SM01,CARBON,enero,2022
1,2022-01-11,22:40:00,23:59:00,01:19:00,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,1.3166666666666647,IA01-211,PROGRAMA DE PRODUCCION,Sin Imputacion,PROCESO,PROCESO,PP PROCESO,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,enero,2022
0,2022-01-12,00:00:00,07:00:00,07:00:00,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,7.0,IA01-211,PROGRAMA DE PRODUCCION,Sin Imputacion,PROCESO,PROCESO,PP PROCESO,PARADA PROGRAMADA DE PRODUCCION,TRITURADORA,enero,2022
1,2022-01-12,04:14:00,18:54:00,14:40:00,PARADA PROGRAMADA PARA MANTENIMIENTO,CEMENTO,14.666666666666664,EC01-561,MANTENIMIENTO PROGRAMADO,Sin Imputacion,MANTENIMIENTO,MANTENIMIENTO,PP,PARADA PROGRAMADA PARA MANTENIMIENTO,CEMENTO,enero,2022
1,2022-01-12,03:42:00,03:52:00,00:10:00,BAJO NIVEL DE LUBRICACION DE RODILLOS L61EL02,CARBON,0.16666666666666674,EC01-L61-EL02,MECANICO,SISTEMA DE LUBRICACION,MTTO MECANICO,MANTENIMIENTO,PNP,SE ACTIVA ALARMA DE NIVEL BAJO SISTEMA DE LUBRICACION DE RODILLOS L61EL02,CARBON,enero,2022
