No. 1s,Fecha,INICIO,FINAL,TIEMPO DE PARO,CAUSA (DIGITAR EN MAYUSCULAS),PROCESO,HORAS TOTAL (H),Codigo ubicación tecnica,Tipo Paro,Imputación,AREA,PROCESO2,CLASE,NOMBRE RCA,AREA2,MES,AÑO
PARO,2023-11-10,07:31:00,07:45:00,00:14:00,VARIACION DE TENSION ELECTRICA,HORNO,0.23,EC01-461,EXTERNO,HORNO,PRODUCCION,No Especificado,Sin Clase,VARIACION DE TENSION ELECTRICA,HORNO,noviembre,2023
PARO,2023-11-17,15:34:00,15:39:00,00:05:00,PERDIDA DE SEÑAL DE TEMPERATURA DE LOS MOTORES PRINCIPALES DEL HORNO ,HORNO,0.08333333333333304,EC01-461,EXTERNO,HORNO,MTTO ELECTRICO,No Especificado,Sin Clase,PERDIDA DE SEÑAL DE TEMPERATURA DE LOS MOTORES PRINCIPALES DEL HORNO ,HORNO,noviembre,2023
PARO,2023-11-19,00:00:00,23:59:00,23:59:00,DAÑO EJE ROTOR TRITURADORA,TRITURADORA,23.983333333333334,IA01-211,MECANICO,TRITURADORA,MTTO MECANICO,No Especificado,Sin Clase,DAÑO EJE ROTOR TRITURADORA,TRITURADORA,noviembre,2023
PARO,2023-11-21,00:51:00,21:00:00,20:09:00,AVERIA EN CELDA DE POTENCIA DEL VARIADOR DEL VENTILADOR DE TIRO DEL MOLINO,CEMENTO ART,20.15,EC01-L61,ELECTRICO,MOLINO VERTICAL,MTTO ELECTRICO,No Especificado,Sin Clase,AVERIA CELDA POTENCIA VARIADOR VTI CEMENTO,CEMENTO,noviembre,2023
PARO,2023-11-25,03:50:00,04:09:00,00:19:00,BAJO NIVEL DEL SILO DE HARINA ,HORNO,0.3166666666666669,EC01-461,EXTERNO,Sin Imputacion,PRODUCCION,No Especificado,Sin Clase,BAJO NIVEL DEL SILO DE HARINA ,HORNO,noviembre,2023
PARO,2023-11-25,07:54:00,12:14:00,04:20:00,BAJO NIVEL DEL SILO DE HARINA ,HORNO,4.333333333333332,EC01-461,EXTERNO,Sin Imputacion,PRODUCCION,No Especificado,Sin Clase,BAJO NIVEL DEL SILO DE HARINA ,HORNO,noviembre,2023
PARO,2023-11-25,12:40:00,18:55:00,06:15:00,DAÑO EN  BANDA K91BT04,CEMENTO UG,6.250000000000002,EC01-K91-BT04,MECANICO,Sin Imputacion,MTTO MECANICO,No Especificado,Sin Clase,DAÑO EN  BANDA K91BT04,CEMENTO,noviembre,2023
PARO,2023-11-26,09:40:00,11:02:00,01:22:00,VARIACION DE TENSION ELECTRICA,HORNO,1.3666666666666671,EC01-461,EXTERNO,Sin Imputacion,PRODUCCION,No Especificado,Sin Clase,VARIACION DE TENSION ELECTRICA,HORNO,noviembre,2023
PARO,2023-11-29,05:12:00,12:07:00,06:55:00,FALLA RECLAMADOR PREHOMO 311RC01,CRUDO,6.916666666666666,IA01-311-RC01,MECANICO,RECLAMADOR DE MATERIAL,MTTO MECANICO,No Especificado,Sin Clase,DAÑO RUEDA GUIA RECLAMADOR PREHOMO,CRUDO,noviembre,2023
PARO,2023-12-04,01:19:00,01:59:00,00:40:00,CAIDA DE COSTRA ,HORNO,0.6666666666666666,EC01-461,OPERACIÓN,Sin Imputacion,PRODUCCION,No Especificado,Sin Clase,CAIDA DE COSTRA CONO,HORNO,Diciembre,2023
PARO,2023-12-08,21:22:00,23:59:00,02:37:00,FALLA DE ALIMENTADOR DE MINERAL,CRUDO,2.6166666666666654,EC01-321-DP02,MECANICO,ALIMENTADOR DE MATERIAL,MTTO MECANICO,No Especificado,Sin Clase,FALLA DE ALIMENTADOR DE MINERAL,CRUDO,Diciembre,2023
PARO,2023-12-13,18:00:00,19:56:00,01:56:00,ATASQUE VALVULA ROTATIVA ,CEMENTO UG,1.9333333333333345,EC01-561-VR01,MECANICO,VALVULA ROTATIVA,MTTO MECANICO,No Especificado,Sin Clase,ATASQUE VALVULA ROTATIVA ,CEMENTO,Diciembre,2023
PARO,2023-12-13,09:22:00,10:54:00,01:32:00,SENSOR DE MOVIMIENTO BANDA 561BT03,CEMENTO ART,1.5333333333333332,EC01-561-BT03,ELECTRICO,Sin Imputacion,MTTO ELECTRICO,No Especificado,Sin Clase,FALLA SENSOR DE MOVIMIENTO BANDA 561BT03,CEMENTO,Diciembre,2023
PARO,2023-12-16,11:02:00,12:55:00,01:53:00,DAÑO DE BANDA K91BT04,CEMENTO ART,1.8833333333333333,EC01-K91-BT04,MECANICO,Sin Imputacion,MTTO MECANICO,No Especificado,Sin Clase,DAÑO DE BANDA K91BT04,CEMENTO,Diciembre,2023
PARO,2023-12-16,18:15:00,18:33:00,00:18:00,FALLA DEL SISTEMA BMS,HORNO,0.3000000000000016,EC01-461-HR01,ELECTRICO,HORNO,MTTO ELECTRICO,No Especificado,Sin Clase,PARO DEL HORNO POR FALLA DEL SISTEMA BMS,HORNO,Diciembre,2023
PARO,2023-12-16,22:01:00,22:06:00,00:05:00,PRESION ALTA EN ENTRADA DEL FILTRO PRINCIPAL,HORNO,0.0833333333333357,EC01-421-FT01,OPERACIÓN,HORNO,PRODUCCION,No Especificado,Sin Clase,PARO HORNO POR PRESION ALTA ENTRADA FILTRO PRINCIPAL,HORNO,Diciembre,2023
PARO,2023-12-25,18:11:00,21:47:00,03:36:00,CAIDA DE COSTRA ,HORNO,3.600000000000003,EC01-421,OPERACIÓN,HORNO,PRODUCCION,No Especificado,Sin Clase,CAIDA DE COSTRA CONO,HORNO,Diciembre,2023
